Restaurant,Restaurant Id,Address,Rating,City,Country,Latitiude,Longitude,Votes,Featured In,Cost For Two,Establishment Type,Known For,Should Order,Popular Reviews,All Reviews,Home Delivery,Takeaway,Dine-In,Non Veg,Alcohol,Air Conditioned,Wifi,Cuisines
Tumi Asbe Bole Bar & Restaurant,21944,"401/P, Ajoy Nagar, Kolkata",1.5,Kolkata,India,22.489105,88.394617,24,NA,Rs. 600,NA,NA,NA,2,5,Yes,No,Yes,Yes,Yes,Yes,No,"Chinese, North Indian"
Ginger,20885,"104, SP Mukherjee Road, Kalighat, Kolkata",1.6,Kolkata,India,22.522644,88.346479,1025,NA,Rs. 1200,NA,NA,NA,96,730,Yes,No,Yes,Yes,Yes,Yes,No,"North Indian, Seafood"
Tava,21994,"Hotel Shalimar, 3, SN Banerjee Road, Near Regal Cinema, Esplanade, Kolkata",1.8,Kolkata,India,22.563189,88.351852,11,NA,Rs. 500,NA,NA,NA,2,4,No,No,Yes,Yes,Yes,Yes,No,"North Indian, Chinese"
Om Sai Khazana,21706,"23 A, Sardar Sankar Road, Behind Lake Market, Rash Behari Avenue,Near , Kalighat, Kolkata",1.8,Kolkata,India,22.5156741,88.34662,19,NA,Rs. 300,NA,NA,NA,3,8,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Chinese, Tibetan"
Bean It Up!!!,23383,"41, Elgin Road, Near Forum Mall, Elgin Area, Kolkata",1.8,Kolkata,India,22.537685,88.351852,13,NA,Rs. 250,NA,NA,NA,3,3,No,No,Yes,Yes,No,Yes,No,Cafe
New Basanta Cabin,22401,"65, Bidhan Sarani, College Street, Kolkata",1.9,Kolkata,India,22.589214,88.368972,12,NA,Rs. 100,NA,NA,NA,1,2,No,No,Yes,Yes,No,No,No,"Chinese, Fast Food"
Octane,21957,"4th Floor, Gariahat Mall, 13, Jamir Lane, Ballygunge, Kolkata",1.9,Kolkata,India,22.521358,88.371032,20,NA,Rs. 1500,NA,NA,NA,2,6,No,No,Yes,Yes,Yes,Yes,No,Drinks Only
Bindaas Food Plaza,22908,"18, College Street, Kolkata",2.1,Kolkata,India,22.570887,88.361363,6,NA,Rs. 200,NA,NA,NA,2,3,Yes,No,Yes,Yes,No,No,No,"Chinese, North Indian"
Basanta Cabin,22931,"53, College Street, Kolkata",2.2,Kolkata,India,22.573409,88.362605,31,NA,Rs. 200,NA,NA,NA,10,16,Yes,No,Yes,Yes,No,No,No,"North Indian, Chinese"
The Zeeshan,22895,"2, Surya Sen Street, College Street, Kolkata",2.2,Kolkata,India,22.574077,88.363439,32,NA,Rs. 400,NA,NA,NA,9,14,Yes,No,Yes,Yes,No,Yes,No,"Mughlai, North Indian"
The Sheriff,21372,"15C, Sarat Bose Road, Near Minto Park, Kolkata",2.2,Kolkata,India,22.53794,88.354274,21,NA,Rs. 700,NA,NA,NA,6,9,Yes,No,Yes,Yes,No,Yes,No,"Mexican, Chinese"
Chinaa More,21562,"34, Block C, Baghajatin, Jadavpur, Kolkata",2.2,Kolkata,India,22.47711,88.375955,15,NA,Rs. 600,NA,NA,NA,2,6,Yes,No,Yes,Yes,No,Yes,No,Chinese
Tasty Restaurant,22889,"12/ 1A, Bankim Chatterjee Street, College Street, Kolkata",2.3,Kolkata,India,22.575875,88.364389,5,NA,Rs. 200,NA,NA,NA,2,2,Yes,No,Yes,Yes,No,No,No,Chinese
Momo Food Club,21450,"13/4, Jessore Road, Kolkata",2.3,Kolkata,India,22.629723,88.421402,13,NA,Rs. 350,NA,NA,NA,1,3,Yes,No,Yes,Yes,No,Yes,No,"Chinese, Tibetan"
Darjeeling Momo Junction,22554,"1, Humayun Place, Shree Ram Arcade, New Market Area, Kolkata",2.3,Kolkata,India,22.560564,88.351465,11,NA,Rs. 100,NA,NA,NA,4,4,No,No,Yes,Yes,No,No,No,Fast Food
Palki,20393,"110, Baroda Avenue Extension, Garia, Kolkata",2.3,Kolkata,India,22.471718,88.381895,80,NA,Rs. 750,NA,NA,NA,16,40,Yes,No,Yes,Yes,Yes,Yes,No,"Chinese, North Indian"
Night Queen,20816,"103, Jessore Road, Kolkata",2.3,Kolkata,India,22.611927,88.411005,15,NA,Rs. 300,NA,NA,NA,2,2,Yes,No,Yes,Yes,No,No,No,"Chinese, North Indian"
Devdas Bar & Restaurant,23527,"41, Panchanogram, EM Bypass, Near , Ruby Hospital Area, Kolkata",2.3,Kolkata,India,22.53001,88.395336,4,NA,Rs. 400,NA,NA,NA,0,1,No,No,Yes,Yes,Yes,No,No,"North Indian, Chinese"
My Little Kitchen,21229,"181, Dum Dum Road, Siddheswari Garden, Dum Dum, Kolkata",2.4,Kolkata,India,22.621175,88.401532,52,NA,Rs. 400,NA,NA,NA,6,23,Yes,No,Yes,Yes,No,Yes,Yes,"Chinese, North Indian"
Night Queen's,22038,"13, Abdul Hamid Street, Esplanade, Kolkata",2.4,Kolkata,India,22.568014,88.351562,40,NA,Rs. 500,NA,NA,NA,1,1,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Shri Vikas Restaurant,21342,"4, Salkia School Road, Golabari Petrol Pump, Howrah Station Area, Howrah",2.4,Kolkata,India,22.593434,88.34445,4,NA,Rs. 300,NA,NA,NA,0,1,Yes,No,Yes,No,No,Yes,No,"North Indian, Fast Food"
Zero Miles,21703,"11, Brabourne Road, Drauapadi Mansion, Dalhousie BBD Bagh, Kolkata",2.4,Kolkata,India,22.580338,88.351268,19,NA,Rs. 500,NA,NA,NA,5,7,Yes,No,Yes,Yes,Yes,Yes,Yes,"North Indian, Chinese, Fast Food"
