(22.5670124, 88.3545355) 1
(22.537538, 88.35440659999999) 4
(22.5685909, 88.3701476) 8
(22.5172929, 88.352372) 11
(22.5646641, 88.3535947) 2
(22.5865759, 88.37405849999999) 14
(22.5684397, 88.35751859999999) 3
(22.5629378, 88.3527864) 13
(22.5236341, 88.3464456) 24
(22.5770021, 88.36409739999999) 18
(22.5868034, 88.3748639) 9
(22.5681096, 88.3603104) 17
(22.5855981, 88.3675188) 19
(22.5868119, 88.3744579) 21
(22.5685084, 88.3701916) 10
(22.5411082, 88.3591864) 23
Res#4(22.537685, 88.351852) R#1
(22.5408943, 88.3591167) 26
Res#1(22.522644, 88.346479) R#4
(22.5854056, 88.37382649999999) 16
(22.5866469, 88.373978) 15
(22.5410939, 88.3550515) 5
(22.5156348, 88.348114) 6
Zone_7_(22.587207, 88.374325) Zone7
(22.5647571, 88.3685672) 22
(22.5244444, 88.3525421) 25
(22.5695445, 88.3607765) 20
Res#3(22.5156741, 88.34662) R#2
Res#2(22.563189, 88.351852) R#3
(22.5413143, 88.35498129999999) 12
(22.5167054, 88.3485623) 7
